
2025/02/18 (08:36:58) | ===> btop++ v.1.4.0
2025/02/18 (08:36:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/18 (08:38:02) | INFO: Logger set to INFO

2025/02/18 (09:02:24) | ===> btop++ v.1.4.0
2025/02/18 (09:02:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (09:03:17) | ===> btop++ v.1.4.0
2025/02/18 (09:03:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (09:07:11) | ===> btop++ v.1.4.0
2025/02/18 (09:07:11) | INFO: Logger set to DEBUG
2025/02/18 (09:07:11) | DEBUG: Using locale en_US.UTF-8
2025/02/18 (09:07:11) | INFO: Running on /dev/pts/1
2025/02/18 (09:07:11) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/18 (09:07:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/18 (09:07:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/18 (09:07:11) | DEBUG: Shared::init() : Initialized.
2025/02/18 (09:07:17) | DEBUG: Writing new config file
2025/02/18 (09:07:17) | INFO: Quitting! Runtime: 00:00:06

2025/02/18 (09:07:40) | ===> btop++ v.1.4.0
2025/02/18 (09:07:40) | INFO: Logger set to DEBUG
2025/02/18 (09:07:40) | DEBUG: Using locale en_US.UTF-8
2025/02/18 (09:07:40) | INFO: Running on /dev/pts/1
2025/02/18 (09:07:40) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/18 (09:07:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/18 (09:07:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/18 (09:07:40) | DEBUG: Shared::init() : Initialized.
2025/02/18 (09:07:44) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2025/02/18 (09:07:46) | DEBUG: Loading theme file: /home/dallas/.config/btop/themes/catppuccin_mocha.theme
2025/02/18 (09:07:51) | WARNING: Failed to join _runner thread on exit!
2025/02/18 (09:07:51) | DEBUG: Writing new config file
2025/02/18 (09:07:51) | INFO: Quitting! Runtime: 00:00:11

2025/02/18 (09:08:02) | ===> btop++ v.1.4.0
2025/02/18 (09:08:02) | INFO: Logger set to DEBUG
2025/02/18 (09:08:02) | DEBUG: Using locale en_US.UTF-8
2025/02/18 (09:08:02) | INFO: Running on /dev/pts/1
2025/02/18 (09:08:02) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/18 (09:08:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/18 (09:08:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/18 (09:08:02) | DEBUG: Shared::init() : Initialized.
2025/02/18 (09:08:02) | DEBUG: Loading theme file: /home/dallas/.config/btop/themes/catppuccin_mocha.theme
2025/02/18 (09:08:06) | WARNING: Failed to join _runner thread on exit!
2025/02/18 (09:08:06) | INFO: Quitting! Runtime: 00:00:04
2025/02/18 (09:08:10) | WARNING: Failed to join _runner thread on exit!

2025/02/18 (09:08:11) | ===> btop++ v.1.4.0
2025/02/18 (09:08:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (09:08:20) | ===> btop++ v.1.4.0
2025/02/18 (09:08:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (09:08:53) | ===> btop++ v.1.4.0
2025/02/18 (09:08:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (09:08:56) | ===> btop++ v.1.4.0
2025/02/18 (09:08:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (09:59:43) | ===> btop++ v.1.4.0
2025/02/18 (09:59:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (21:03:55) | ===> btop++ v.1.4.0
2025/02/18 (21:03:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (22:03:05) | ===> btop++ v.1.4.0
2025/02/18 (22:03:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (12:44:45) | ===> btop++ v.1.4.0
2025/02/19 (12:44:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (13:23:48) | ===> btop++ v.1.4.0
2025/02/19 (13:23:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (13:36:17) | ===> btop++ v.1.4.0
2025/02/21 (13:36:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (21:53:03) | ===> btop++ v.1.4.0
2025/02/21 (21:53:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (21:54:14) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (23:29:49) | ===> btop++ v.1.4.0
2025/02/21 (23:29:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (09:57:57) | ===> btop++ v.1.4.0
2025/02/22 (09:57:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (10:18:55) | ===> btop++ v.1.4.0
2025/02/23 (10:18:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (10:32:49) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (16:54:28) | ===> btop++ v.1.4.0
2025/02/23 (16:54:28) | WARNING: Intel GPU: Failed to initialize PMU
